#name,base2,graphene2,nacl2,pave2
1K,1761.0,13250.0,6940.0,5185.125
10K,6429.75,56625.0,13159.125,25908.75
100K,56932.625,510125.0,85067.625,244470.0
1M,584708.125,5077000.0,825673.0,2496376.5
10M,5901397.125,50185000.0,8252403.0,24797168.25
