#name,base2,graphene2,nacl2,pave2
1K,43115.375,386125.0,16208.5,16614.25
10K,6116.125,51375.0,9750.875,26707.625
100K,21804.0,80625.0,30426.625,75707.875
1M,210757.75,749000.0,253225.125,752648.5
10M,2142687.5,7414500.0,2564804.0,7486805.5
