#name,base3,graphene3,nacl3,pave3
1K,19870.0,0,6928.0,36530.0
10K,21669.0,0,21371.0,25801.0
100K,95458.0,0,47955.0,76112.0
1M,937595.0,0,271325.0,751702.0
10M,4329269.0,0,2007373.0,7612569.0
