#name,base,graphene,nacl,pave
1K,7958.3,42500.0,19738.6,34599.3
10K,12193.9,70500.0,20926.9,22269.9
#100K,37945.1,620700.0,65908.0,318105.0
#1M,338703.9,4848600.0,478206.5,7149132.2
#10M,3522563.4,47984700.0,7149440.2,56804827.2
