#name,base2,graphene2,nacl2,pave2
1K,2137.125,13875.0,8046.25,5418.625
10K,5405.625,12375.0,10964.25,7857.625
100K,13544.125,69500.0,22203.75,61171.25
1M,124738.875,633125.0,169202.375,602773.125
10M,1091999.125,6056500.0,1495669.625,5945965.25
