#name,,Base,NaCl,SGX,SGX+NaCl
4467.00086759,0.0,0.0,40588.0005326,
5032.0006642,0.0,0.0,40943.0005303,
6295.00058335,0.0,0.0,40976.0005484,
7641.00057682,0.0,0.0,41604.0006009,
7696.00072091,0.0,0.0,42542.0006514,
8587.00012819,0.0,0.0,43361.0006538,
10875.0005478,0.0,0.0,43535.0004944,
13499.0009314,0.0,0.0,52530.000677,
21769.0005333,0.0,0.0,53549.0009157,
21790.0007299,0.0,0.0,53646.0005901,
21823.0003736,0.0,0.0,53657.0007381,
21878.0003255,0.0,0.0,53673.0003516,
21896.0004476,0.0,0.0,53795.0007964,
21907.0005074,0.0,0.0,53926.0007098,
21921.0004713,0.0,0.0,54253.000616,
21927.0004906,0.0,0.0,54454.0008949,
21937.0002846,0.0,0.0,54505.0007708,
21963.0005221,0.0,0.0,54515.0005895,
21972.0006804,0.0,0.0,54708.0008048,
21986.0006235,0.0,0.0,54800.0005237,
21987.0004967,0.0,0.0,54850.000313,
22004.0003424,0.0,0.0,54868.0004037,
22008.0003713,0.0,0.0,54930.0005328,
22008.0005802,0.0,0.0,54945.0002026,
22009.0001973,0.0,0.0,54981.0004325,
22014.0005705,0.0,0.0,55003.000594,
22041.0006655,0.0,0.0,55099.0006685,
22048.0007516,0.0,0.0,55105.0003641,
22069.0007113,0.0,0.0,55188.0007622,
22084.0005877,0.0,0.0,55189.000513,
22101.0007185,0.0,0.0,55221.0005642,
22113.0009062,0.0,0.0,55277.0008532,
22124.0007448,0.0,0.0,55282.0009353,
22126.0006675,0.0,0.0,55283.0009563,
22132.0005111,0.0,0.0,55297.0007426,
22133.0004232,0.0,0.0,55370.0004227,
22133.0007482,0.0,0.0,55376.0004713,
22140.0005873,0.0,0.0,55404.0006548,
22146.0006034,0.0,0.0,55415.0002922,
22147.0004835,0.0,0.0,55425.0005821,
22149.000451,0.0,0.0,55467.0003483,
22151.0006306,0.0,0.0,55501.0006971,
22164.0004291,0.0,0.0,55505.0005484,
22167.0004816,0.0,0.0,55558.0001503,
22177.0007742,0.0,0.0,55604.0004933,
22178.0004885,0.0,0.0,55606.0003128,
22185.0005618,0.0,0.0,55647.000441,
22194.000392,0.0,0.0,55672.0004666,
22207.0006976,0.0,0.0,55676.0005214,
22215.000464,0.0,0.0,55753.0005165,
22217.0004555,0.0,0.0,55758.0007097,
22219.0005076,0.0,0.0,55793.0004513,
22231.0006176,0.0,0.0,55817.0002375,
22233.0005055,0.0,0.0,55841.0005138,
22235.0002066,0.0,0.0,55886.0006633,
22235.0007566,0.0,0.0,55927.0006995,
22238.0007676,0.0,0.0,55932.0004644,
22239.0005355,0.0,0.0,55944.0005226,
22239.0005703,0.0,0.0,55950.0006589,
22240.0004373,0.0,0.0,55959.0006409,
22242.0007125,0.0,0.0,55965.000511,
22248.0006016,0.0,0.0,55970.0003329,
22250.0005771,0.0,0.0,56032.0005775,
22258.0003251,0.0,0.0,56081.0003166,
22262.0001194,0.0,0.0,56101.0005566,
22264.0004697,0.0,0.0,56116.0004334,
22265.000589,0.0,0.0,56183.0002713,
22270.0005182,0.0,0.0,56276.0006971,
22270.0005488,0.0,0.0,56297.0005946,
22275.0006546,0.0,0.0,56356.0005226,
22287.0005258,0.0,0.0,56385.0002973,
22299.0003879,0.0,0.0,56707.0002403,
22300.0002762,0.0,0.0,56805.0004759,
22301.0002965,0.0,0.0,57345.0007484,
22302.0005337,0.0,0.0,57367.0003203,
22305.000292,0.0,0.0,57380.0006247,
22310.000272,0.0,0.0,57503.0008422,
22315.0006563,0.0,0.0,58175.0005366,
22319.0006219,0.0,0.0,58775.000524,
22324.0005547,0.0,0.0,63510.0007433,
22328.0007531,0.0,0.0,63591.0007526,
22331.0002718,0.0,0.0,63692.0007786,
22336.0002754,0.0,0.0,63931.000563,
22336.0007402,0.0,0.0,63954.0006474,
22338.0003916,0.0,0.0,66409.0005659,
22345.0005761,0.0,0.0,67195.000451,
22346.0007022,0.0,0.0,67253.0006735,
22355.0004668,0.0,0.0,67256.0004445,
22358.0002521,0.0,0.0,67401.0005601,
22363.0005007,0.0,0.0,67428.0002708,
22366.0002133,0.0,0.0,67451.0006674,
22367.0006429,0.0,0.0,67460.000634,
22370.0003448,0.0,0.0,67499.0004677,
22378.0008672,0.0,0.0,67515.0007006,
22379.0006539,0.0,0.0,67518.0008942,
22383.0004485,0.0,0.0,67547.0004234,
22388.0004179,0.0,0.0,67550.0003463,
22390.0004731,0.0,0.0,67557.0009304,
22392.000322,0.0,0.0,67563.0005566,
22394.0007863,0.0,0.0,67581.000691,
22400.0007073,0.0,0.0,67604.0006696,
22401.0006405,0.0,0.0,67649.0003796,
22409.0004712,0.0,0.0,67665.0004607,
22418.0004807,0.0,0.0,67669.0005429,
22423.0004207,0.0,0.0,67717.0008431,
22424.000699,0.0,0.0,67721.000666,
22424.0007664,0.0,0.0,67729.0004727,
22425.0006699,0.0,0.0,67771.0006337,
22427.0002627,0.0,0.0,67796.000772,
22430.0002709,0.0,0.0,67821.0008642,
22432.000479,0.0,0.0,67824.0003583,
22441.000655,0.0,0.0,67869.0004844,
22445.0005779,0.0,0.0,67872.0005768,
22446.0004986,0.0,0.0,67885.0003928,
22451.0005065,0.0,0.0,67923.0007246,
22459.0004489,0.0,0.0,67931.0004904,
22459.0007241,0.0,0.0,67956.0004281,
22466.0006419,0.0,0.0,67969.0003419,
22468.0007004,0.0,0.0,67998.0003105,
22471.0003389,0.0,0.0,68010.000673,
22472.0003189,0.0,0.0,68025.0003734,
